name,artists,year,cluster
Thunderstruck,['AC/DC'],1990,2
Carol of the Bells,"['Mykola Dmytrovych Leontovych', 'John Williams']",1990,1
Man in the Box,['Alice In Chains'],1990,2
Don't Go Breaking My Heart,"['Elton John', 'Kiki Dee']",1990,0
This Christmas,['Donny Hathaway'],1990,0
Can I Kick It?,['A Tribe Called Quest'],1990,0
She Talks To Angels,['The Black Crowes'],1990,2
Hard To Handle,['The Black Crowes'],1990,0
Poison,['Bell Biv DeVoe'],1990,0
Cowboys from Hell,['Pantera'],1990,2
U Can't Touch This,['MC Hammer'],1990,0
Nothing Compares 2 U,"[""Sinéad O'Connor""]",1990,1
More Than Words,['Extreme'],1990,1
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],1990,0
Hold On,['Wilson Phillips'],1990,0
Wind Of Change,['Scorpions'],1990,2
What I Like About You,['The Romantics'],1990,2
The Humpty Dance,['Digital Underground'],1990,0
Cherry Pie,['Warrant'],1990,2
Enjoy the Silence - Single Mix,"['Depeche Mode', 'Daniel Miller', 'Phil Legg']",1990,0
Istanbul (Not Constantinople),['They Might Be Giants'],1990,0
Hunger Strike,['Temple Of The Dog'],1990,2
Black Betty,['Ram Jam'],1990,2
Cemetery Gates,['Pantera'],1990,2
Abrázame Muy Fuerte,['Juan Gabriel'],1990,1
Unchained Melody,['The Righteous Brothers'],1990,1
I'm Gonna Be Somebody,['Travis Tritt'],1990,0
Cherry Pie,['Warrant'],1990,2
Fancy,['Reba McEntire'],1990,1
Cherry-coloured Funk,['Cocteau Twins'],1990,2
All I Wanna Do Is Make Love To You,['Heart'],1990,0
Holy Wars...The Punishment Due - Remastered 2004,['Megadeth'],1990,2
Rayando El Sol,['Maná'],1990,0
Been Caught Stealing,"[""Jane's Addiction""]",1990,0
Moneytalks,['AC/DC'],1990,2
Unskinny Bop,['Poison'],1990,0
Story of My Life,['Social Distortion'],1990,2
Quién Como Tú,['Ana Gabriel'],1990,1
Whatever You Want,['Tony! Toni! Toné!'],1990,0
High Enough,['Damn Yankees'],1990,1
Convoy,['C.W. McCall'],1990,0
Painkiller,['Judas Priest'],1990,2
Let's Chill,['Guy'],1990,1
Say Hello 2 Heaven,['Temple Of The Dog'],1990,2
Feels Good,['Tony! Toni! Toné!'],1990,0
Domination,['Pantera'],1990,2
Ice Ice Baby,['Vanilla Ice'],1990,0
Fight The Power,['Public Enemy'],1990,0
"Love Without End, Amen",['George Strait'],1990,1
La Célula Que Explota,['Caifanes'],1990,1
Silent Lucidity - Remastered 2003,['Queensrÿche'],1990,1
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",['Jon Bon Jovi'],1990,1
Policy of Truth - 2006 Remaster,['Depeche Mode'],1990,0
"Oiga, Mire, Vea",['Guayacán Orquesta'],1990,2
