name,artists,year
Thunderstruck,['AC/DC'],1990
Carol of the Bells,"['Mykola Dmytrovych Leontovych', 'John Williams']",1990
Man in the Box,['Alice In Chains'],1990
Don't Go Breaking My Heart,"['Elton John', 'Kiki Dee']",1990
This Christmas,['Donny Hathaway'],1990
Can I Kick It?,['A Tribe Called Quest'],1990
She Talks To Angels,['The Black Crowes'],1990
Hard To Handle,['The Black Crowes'],1990
Poison,['Bell Biv DeVoe'],1990
Cowboys from Hell,['Pantera'],1990
U Can't Touch This,['MC Hammer'],1990
Nothing Compares 2 U,"[""Sinéad O'Connor""]",1990
More Than Words,['Extreme'],1990
"It Must Have Been Love - From the Film ""Pretty Woman""",['Roxette'],1990
Hold On,['Wilson Phillips'],1990
Wind Of Change,['Scorpions'],1990
What I Like About You,['The Romantics'],1990
The Humpty Dance,['Digital Underground'],1990
Cherry Pie,['Warrant'],1990
Enjoy the Silence - Single Mix,"['Depeche Mode', 'Daniel Miller', 'Phil Legg']",1990
Istanbul (Not Constantinople),['They Might Be Giants'],1990
Hunger Strike,['Temple Of The Dog'],1990
Black Betty,['Ram Jam'],1990
Cemetery Gates,['Pantera'],1990
Abrázame Muy Fuerte,['Juan Gabriel'],1990
Unchained Melody,['The Righteous Brothers'],1990
I'm Gonna Be Somebody,['Travis Tritt'],1990
Cherry Pie,['Warrant'],1990
Fancy,['Reba McEntire'],1990
Cherry-coloured Funk,['Cocteau Twins'],1990
All I Wanna Do Is Make Love To You,['Heart'],1990
Holy Wars...The Punishment Due - Remastered 2004,['Megadeth'],1990
Rayando El Sol,['Maná'],1990
Been Caught Stealing,"[""Jane's Addiction""]",1990
Moneytalks,['AC/DC'],1990
Unskinny Bop,['Poison'],1990
Story of My Life,['Social Distortion'],1990
Quién Como Tú,['Ana Gabriel'],1990
Whatever You Want,['Tony! Toni! Toné!'],1990
High Enough,['Damn Yankees'],1990
Convoy,['C.W. McCall'],1990
Painkiller,['Judas Priest'],1990
Let's Chill,['Guy'],1990
Say Hello 2 Heaven,['Temple Of The Dog'],1990
Feels Good,['Tony! Toni! Toné!'],1990
Domination,['Pantera'],1990
Ice Ice Baby,['Vanilla Ice'],1990
Fight The Power,['Public Enemy'],1990
"Love Without End, Amen",['George Strait'],1990
La Célula Que Explota,['Caifanes'],1990
Silent Lucidity - Remastered 2003,['Queensrÿche'],1990
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",['Jon Bon Jovi'],1990
Policy of Truth - 2006 Remaster,['Depeche Mode'],1990
"Oiga, Mire, Vea",['Guayacán Orquesta'],1990
Heaven Or Las Vegas,['Cocteau Twins'],1990
"My, My, My",['Johnny Gill'],1990
Love of a Lifetime,['Firehouse'],1990
Amores Como el Nuestro,['Jerry Rivera'],1990
American Remains,"['The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson']",1990
But Anyway,['Blues Traveler'],1990
El Triste,['José José'],1990
Tornado Of Souls - Remastered 2004,['Megadeth'],1990
I Like The Way,['Hi-Five'],1990
Cliffs Of Dover - Instrumental,['Eric Johnson'],1990
Ball and Chain,['Social Distortion'],1990
Twice As Hard,['The Black Crowes'],1990
Step by Step,['New Kids On The Block'],1990
Tan enamorados,['Ricardo Montaner'],1990
Don't Close Your Eyes,['Keith Whitley'],1990
I Melt With You - Rerecorded,['Modern English'],1990
Don't Treat Me Bad,['Firehouse'],1990
Birdhouse in Your Soul,['They Might Be Giants'],1990
Hold On,['En Vogue'],1990
It Takes Two,['Rob Base & DJ EZ Rock'],1990
Are You Ready,['AC/DC'],1990
Baby I'm Ready,['Levert'],1990
Something To Believe In - Remastered,['Poison'],1990
Bachata Rosa,['Juan Luis Guerra 4.40'],1990
You've Lost That Lovin' Feelin',['The Righteous Brothers'],1990
Maybe It Was Memphis,['Pam Tillis'],1990
Personal Jesus - 2006 Remaster,['Depeche Mode'],1990
Groove Is in the Heart,['Deee-Lite'],1990
Jet City Woman - Remastered 2003,['Queensrÿche'],1990
Qué Hay de Malo,['Jerry Rivera'],1990
Send Me An Angel,['Scorpions'],1990
The Ghetto,['Too $hort'],1990
Vision of Love,['Mariah Carey'],1990
We Die Young,['Alice In Chains'],1990
Gotas De Lluvia,['Grupo Niche'],1990
Te Quiero,['Los Temerarios'],1990
Ring of Fire,['Social Distortion'],1990
Kool Thing,['Sonic Youth'],1990
Country Club,['Travis Tritt'],1990
"Main Title ""Somewhere in My Memory"" (From ""Home Alone"") - Voice","['John Williams', 'Boston Pops Orchestra']",1990
When You Say Nothing at All,['Keith Whitley'],1990
Tengo Todo Excepto a Ti,['Luis Miguel'],1990
True Love Will Find You In The End,['Daniel Johnston'],1990
I Love You More Than You'll Ever Know,['Donny Hathaway'],1990
She's Playing Hard To Get,['Hi-Five'],1990
Maldito duende,['Heroes Del Silencio'],1990
Rumble,['Link Wray & The Wraymen'],1990
Burbujas de Amor,['Juan Luis Guerra 4.40'],1990
Rub You The Right Way,['Johnny Gill'],1990
Here's Where The Story Ends,['The Sundays'],1990
Gonna Make You Sweat (Everybody Dance Now),['C & C Music Factory'],1990
Something's Gotta Give,['Sammy Davis Jr.'],1990
With You,['Tony Terry'],1990
Jealous Again,['The Black Crowes'],1990
Enjoy the Silence - 2006 Remaster,['Depeche Mode'],1990
Eternamente Bella,['Alejandra Guzman'],1990
Let's Talk About Sex,['Salt-N-Pepa'],1990
Entrégate,['Luis Miguel'],1990
Solo Te Quiero a Ti,['Los Temerarios'],1990
Silver Stallion,"['The Highwaymen', 'Willie Nelson', 'Johnny Cash', 'Waylon Jennings', 'Kris Kristofferson']",1990
I'm Your Baby Tonight,['Whitney Houston'],1990
"(I Got Spurs That) Jingle, Jangle, Jingle",['Kay Kyser & His Orchestra'],1990
Stop,"[""Jane's Addiction""]",1990
We Wish You a Merry Christmas / End Title - Voice,"['Traditional', 'John Williams']",1990
Cuenta Conmigo,['Jerry Rivera'],1990
21st Century (Digital Boy),['Bad Religion'],1990
La Raza,['Kid Frost'],1990
Bleed The Freak,['Alice In Chains'],1990
Joey,['Concrete Blonde'],1990
Me va a extrañar (aka Unchain My Heart),['Ricardo Montaner'],1990
Somewhere in My Memory - Chorus & Orchestra Version,['John Williams'],1990
Vete Con Él,['Los Temerarios'],1990
Bouncing Around the Room,['Phish'],1990
Why Didn't I Think Of That,['Doug Stone'],1990
Get Here,['Oleta Adams'],1990
Tiernas Mentiras,['Samuray'],1990
The Power,['SNAP!'],1990
Halah,['Mazzy Star'],1990
Chasin' That Neon Rainbow,['Alan Jackson'],1990
The Obvious Child,['Paul Simon'],1990
Conciencia,['Gilberto Santa Rosa'],1990
Seasons In The Abyss,['Slayer'],1990
Everybody Everybody,['Black Box'],1990
Fire Your Guns,['AC/DC'],1990
Mi Corazón Te Quiere,['Los Temerarios'],1990
Skies the Limit,['Fleetwood Mac'],1990
If You Needed Somebody,['Bad Company'],1990
Cómo Te Va Mi Amor,['Pandora'],1990
Christmas Wrapping,['The Waitresses'],1990
In a Different Light,['Doug Stone'],1990
Love Takes Time,['Mariah Carey'],1990
It Never Rains (In Southern California),['Tony! Toni! Toné!'],1990
Help Me Hold On,['Travis Tritt'],1990
Sitting In The Park - Single Version,['Billy Stewart'],1990
Creo Que Voy a Llorar,['Los Temerarios'],1990
Un Angel No Debe Llorar,['Los Bondadosos'],1990
Derrotado y Sin Cariño,['Los Temerarios'],1990
Uncle Tom's Cabin,['Warrant'],1990
Entre dos tierras,['Heroes Del Silencio'],1990
Uncle Tom's Cabin,['Warrant'],1990
Still Got The Blues,['Gary Moore'],1990
Alone,['The Cry'],1990
Celoso,['Grupo Toppaz De Reynaldo Flores'],1990
When Will I See You Smile Again?,['Bell Biv DeVoe'],1990
I'd Be Better Off (In A Pine Box),['Doug Stone'],1990
Cara de Niño,['Jerry Rivera'],1990
Do Me!,['Bell Biv DeVoe'],1990
Suicide Blonde,['INXS'],1990
Lo Que No Fue No Será,['José José'],1990
Got The Time,['Anthrax'],1990
Tender Kisses,['Tracie Spencer'],1990
Feed Jake,['Pirates Of The Mississippi'],1990
Head Over Heels,"[""The Go-Go's""]",1990
From a Distance,['Bette Midler'],1990
Love Is Dangerous - 2018 Remaster,['Fleetwood Mac'],1990
Sea Of Sorrow,['Alice In Chains'],1990
De un Rancho a Otro,['Vicente Fernández'],1990
Tren Al Sur,['Los Prisioneros'],1990
Love Can Build A Bridge,['The Judds'],1990
I Feel Lucky,['Mary Chapin Carpenter'],1990
Dead Skin Mask,['Slayer'],1990
A Beautiful Morning - Single Version,['The Rascals'],1990
Stop,"[""Jane's Addiction""]",1990
Modern Love - Single Version; 1990 Remaster,['David Bowie'],1990
"Love, Hate, Love",['Alice In Chains'],1990
Have Yourself a Merry Little Christmas - Voice,"['Hugh Martin', 'Mel Tormé']",1990
Entre dos tierras,['Heroes Del Silencio'],1990
It Ain't Like That,['Alice In Chains'],1990
Almohada,['José José'],1990
Luck of Lucien,['A Tribe Called Quest'],1990
El Muñeco,['Liberación'],1990
Smells Like Teen Spirit,['Nirvana'],1991
Enter Sandman,['Metallica'],1991
Under the Bridge,['Red Hot Chili Peppers'],1991
Come As You Are,['Nirvana'],1991
Nothing Else Matters,['Metallica'],1991
Even Flow,['Pearl Jam'],1991
Losing My Religion,['R.E.M.'],1991
November Rain,"[""Guns N' Roses""]",1991
Lithium,['Nirvana'],1991
Alive,['Pearl Jam'],1991
Meet In the Middle,['Diamond Rio'],1991
Knockin' On Heaven's Door,"[""Guns N' Roses""]",1991
In Bloom - Nevermind Version,['Nirvana'],1991
Jeremy,['Pearl Jam'],1991
The Unforgiven,['Metallica'],1991
Badfish,['Sublime'],1991
Give It Away,['Red Hot Chili Peppers'],1991
Black,['Pearl Jam'],1991
What You Won't Do for Love,['Bobby Caldwell'],1991
Learning To Fly,['Tom Petty and the Heartbreakers'],1991
"Mama, I'm Coming Home",['Ozzy Osbourne'],1991
Sad But True,['Metallica'],1991
It's Five O'Clock Somewhere,"['Alan Jackson', 'Jimmy Buffett']",1991
She's In Love With The Boy - Single Version,['Trisha Yearwood'],1991
Yellow Ledbetter,['Pearl Jam'],1991
Mind Playing Tricks on Me,['Geto Boys'],1991
(Everything I Do) I Do It For You,['Bryan Adams'],1991
End Of The Road,['Boyz II Men'],1991
I Can't Make You Love Me,['Bonnie Raitt'],1991
No More Tears,['Ozzy Osbourne'],1991
Two Princes,['Spin Doctors'],1991
Remember the Time,['Michael Jackson'],1991
Something In The Way,['Nirvana'],1991
The Night The Lights Went Out In Georgia,['Reba McEntire'],1991
One,['U2'],1991
Small Town Saturday Night,['Hal Ketchum'],1991
Wherever I May Roam,['Metallica'],1991
Leather and Lace (with Don Henley),['Stevie Nicks'],1991
Something To Talk About,['Bonnie Raitt'],1991
To Be With You - 2010 Remastered Version,['Mr. Big'],1991
Walking in Memphis,['Marc Cohn'],1991
"Be Our Guest - From ""Beauty and the Beast""/Soundtrack","['Angela Lansbury', 'Jerry Orbach', 'Chorus - Beauty And the Beast']",1991
Drain You,['Nirvana'],1991
"Beauty and the Beast - From ""Beauty and the Beast"" / Soundtrack Version",['Angela Lansbury'],1991
Don't Cry (Original),"[""Guns N' Roses""]",1991
Jerry Was A Race Car Driver,['Primus'],1991
Under Pressure - Remastered 2011,"['Queen', 'David Bowie']",1991
Outshined,['Soundgarden'],1991
